Net Asset Value,NAV date,Fund Name
35.6812,2024-08-22,HSBC Equity Savings Fund
42.46,2024-08-22,Bank of India Mid Small Cap Fund
34.3876,2024-08-22,ICICI Prudential Bharat 22 FOF
97.9738,2024-08-22,Nippon India Large Cap Fund
27.5508,2024-08-23,Kotak Equity Savings Fund
42.37,2024-08-23,Bank of India Mid Small Cap Fund
214.05,2024-08-23,HDFC Focused 30 Fund
34.3611,2024-08-23,ICICI Prudential Bharat 22 FOF
37.052,2024-08-23,SBI PSU Fund
35.7912,2024-08-23,HSBC Equity Savings Fund
97.9385,2024-08-23,Nippon India Large Cap Fund
34.5975,2024-08-26,ICICI Prudential Bharat 22 FOF
27.5721,2024-08-26,Kotak Equity Savings Fund
35.7156,2024-08-26,HSBC Equity Savings Fund
98.6268,2024-08-26,Nippon India Large Cap Fund
37.3073,2024-08-26,SBI PSU Fund
215.347,2024-08-26,HDFC Focused 30 Fund
42.45,2024-08-26,Bank of India Mid Small Cap Fund
35.7113,2024-08-27,HSBC Equity Savings Fund
37.3686,2024-08-27,SBI PSU Fund
27.6341,2024-08-27,Kotak Equity Savings Fund
98.8747,2024-08-27,Nippon India Large Cap Fund
42.69,2024-08-27,Bank of India Mid Small Cap Fund
34.7019,2024-08-27,ICICI Prudential Bharat 22 FOF
215.902,2024-08-27,HDFC Focused 30 Fund
37.2944,2024-08-28,SBI PSU Fund
34.5935,2024-08-28,ICICI Prudential Bharat 22 FOF
42.72,2024-08-28,Bank of India Mid Small Cap Fund
35.7559,2024-08-28,HSBC Equity Savings Fund
27.61,2024-08-28,Kotak Equity Savings Fund
215.94,2024-08-28,HDFC Focused 30 Fund
98.7789,2024-08-28,Nippon India Large Cap Fund
37.2216,2024-08-29,SBI PSU Fund
42.52,2024-08-29,Bank of India Mid Small Cap Fund
34.6726,2024-08-29,ICICI Prudential Bharat 22 FOF
35.5864,2024-08-29,HSBC Equity Savings Fund
27.6163,2024-08-29,Kotak Equity Savings Fund
216.133,2024-08-29,HDFC Focused 30 Fund
98.9127,2024-08-29,Nippon India Large Cap Fund
217.87,2024-08-30,HDFC Focused 30 Fund
99.3996,2024-08-30,Nippon India Large Cap Fund
34.8332,2024-08-30,ICICI Prudential Bharat 22 FOF
37.423,2024-08-30,SBI PSU Fund
27.6955,2024-08-30,Kotak Equity Savings Fund
35.6884,2024-08-30,HSBC Equity Savings Fund
42.95,2024-08-30,Bank of India Mid Small Cap Fund
37.4229,2024-08-31,SBI PSU Fund
35.5348,2024-09-02,HSBC Equity Savings Fund
27.7264,2024-09-02,Kotak Equity Savings Fund
218.094,2024-09-02,HDFC Focused 30 Fund
99.5227,2024-09-02,Nippon India Large Cap Fund
42.56,2024-09-02,Bank of India Mid Small Cap Fund
34.7891,2024-09-02,ICICI Prudential Bharat 22 FOF
37.3225,2024-09-02,SBI PSU Fund
37.281,2024-09-03,SBI PSU Fund
35.5653,2024-09-03,HSBC Equity Savings Fund
99.6805,2024-09-03,Nippon India Large Cap Fund
34.7276,2024-09-03,ICICI Prudential Bharat 22 FOF
218.769,2024-09-03,HDFC Focused 30 Fund
42.71,2024-09-03,Bank of India Mid Small Cap Fund
27.7534,2024-09-03,Kotak Equity Savings Fund
34.413,2024-09-04,ICICI Prudential Bharat 22 FOF
218.985,2024-09-04,HDFC Focused 30 Fund
27.7312,2024-09-04,Kotak Equity Savings Fund
36.8683,2024-09-04,SBI PSU Fund
99.2067,2024-09-04,Nippon India Large Cap Fund
35.5133,2024-09-04,HSBC Equity Savings Fund
42.54,2024-09-04,Bank of India Mid Small Cap Fund
27.791,2024-09-05,Kotak Equity Savings Fund
34.3652,2024-09-05,ICICI Prudential Bharat 22 FOF
99.3569,2024-09-05,Nippon India Large Cap Fund
36.7992,2024-09-05,SBI PSU Fund
42.57,2024-09-05,Bank of India Mid Small Cap Fund
35.5584,2024-09-05,HSBC Equity Savings Fund
218.917,2024-09-05,HDFC Focused 30 Fund
33.733,2024-09-06,ICICI Prudential Bharat 22 FOF
35.4101,2024-09-06,HSBC Equity Savings Fund
216.946,2024-09-06,HDFC Focused 30 Fund
35.949,2024-09-06,SBI PSU Fund
